perfil_seguidores2,numero_seguidores2
samanda2325,189
aninha_larissa73,88
cremy.esdras,89
aurorarosangela4,76
santos.bm20,87
viva2021motivado,36
amandagomes5666,77
leticia.brito__,670
joice2512,96
carolinepagliabelle,63
eiikarla_,75
faclubedo.luan,55
reegg_iiss,181
andriusampaio,98
c.silvamarilia,1183
cantadanalata,76
daysee97,49
tvweb27,1008
lisboalina98,77
aracellymaria8,89
sol_ou_luna,229
tartaa0011,589
_mariastore__,64
abilennyalves,130
m.jadegj,53
jose06851,41
uniao_araguainense10,86
_angelodasilva_,142
bbite_7,181
rairpm2,53
gil202172,227
kesiabritobrito,93
amordenverx,52
zlojinhadavi,76
bruros4_,72
jmlsoutoo,35
henr.i2122,655
tyle.rgold,65
tremor.jpgz,82
anto.nio4627,106
hutt_mara,80
isabel_monteiroo25,31
lolacrickket,18
samuka.novinho,84
gilb.erto3739,48
mulherunhas_,83
luciana_silva301,23
brunof246,395
moraes.piscinas,64
karolsantinhos,182
carol_sl3,56
saraagomesx,51
facahortanaofacacova,41
alexsonfil,75
jadenyukianikee,62
ailt_onvieira,78
_eloracolucci_,68
pousada.serena,129
robertmendesjunior,123
lovejoiasmania,51
branco_ssss,58
ariana_grande_fcn,110
ritasouza4107,34
juliaalmeidaxx2,58
o_cara_dos_criativos,95
alerquina_gt,139
anapatriciamachadopinheiro,164
raquelsanntoss.s,190
btjuliana0,118
seu_treino_diario,54
jessica_lemitz,42
fatimalira369,57
tonigabrielsantos,45
jeffjj707,152
sgabi0234,63
loucos.pela.claudinha,84
cristinazilma11,111
foto.praiana,48
eduardocosta_deoliveira,71
alvesjanycleia,0
arctrurian,63
giovana.rim1,47
tudonosso023,221
cuidadocomoloiro,30
luasilva541,56
morriganmitchel,105
restrit0_61,322
pam.ella07,66
helenadz23,59
cessao,60
queridaa.boutique,83
leomastro.2020,59
maquiagem835,189
jaque46806,68
pri_ncessbubble,639
sorayatamy,100
alinedamasceno81,478
rodrigopensador0,59
gael.lens,34
san_drabarros,78
anna2bolsas,34
antoniofjc25,128
miauzinho2021,98
jamires.suelem,113
joaomig_p,147
telemarketing49,58
bernardob070,53
kamilyy_love,46
nicolaspassos31,48
bazaronline389,69
tudonacarteira,145
julianasalles87,27
isinhas411,120
elso.n98,480
jess2pi,56
sempreajudandoamamae,43
usuario_chique,120
bezinha33b,52
amormaior60,50
alice_johnsonn1,116
mundofofo62,46
biamacedofg,60
matheusduarte226,77
littleic2112,78
nicolyreix,852
adlibertos_emcristo,45
casa_dobrilho92,56
lidianabeka,206
toquio_narobi_,306
projetodoarccoracao,701
liliansanm24,232
brunayumi2,196
viviherondale19,24
kazibrightmist,24
nataliavariedades91,80
__erica_02_,98
caio.092020,42
asmaislindasplantas,79
mhtche11,130
tatooarte58,50
carlamariana627,143
rafa_silvakaka,436
rnsilva77,159
vaianittabr1,83
mulheres_superpoderosas2021,56
faclubedabruna1,65
pizzaspock,98
andrecristiano70,309
paraisos36,42
maario03mendito,106
tonysfreitaa,148
vanessapradelle,97
iris_kkatia,67
along.amentodeunhacurso,62
carminha8363,82
cleycianematiascosta,105
rodrigosantana562,67
_buscando.deus,75
felipe.motiva,64
ana_rrttt,314
joaozinhoshow15,39
joonathan_02_,35
brigadeirocarira,29
palomasilvaa08,94
fotostumblr7989,167
diadefraseamor,67
isabella_poarch,135
ivani9403,201
nasc.imento706,98
almarrr61,80
comediaseries10,58
mirian_7890,125
carlosluis5431,157
santos_cristina7,138
aline_gif,0
_agoramaedaisa,8531
fernadtata,62
norbanyes,50
giov.annagomes_,119
luccarenato42,42
janarosalino,866
tommy_shelbypb9,125
ah.puh,72
vando7628,85
flashlight391,39
ota_vio2021,64
aofritu,94
marcelo.antonio1515,115
_zeus.capa,272
maralina22,40
marianabernadi09,81
zueirainfinita4,41
rodriguesermelindo905,180
natalice_busto,189
naty_larah0854,48
mariafrancisca4855,81
vivv.iii,106
samanthabernades21,63
marivissole,58
adriana_ferreira789,107
severino.dog,68
gabizinha1026,55
luiz.40000,68
barren_martins,1460
demi.fas24,46
vida.fitnessxs,35
insp.iracaolooks2020,77
peedrao_lins,0
tejanopaula509,33
_saramb08,84
tielytavares,66
vndsvandis,419
euro.relogio,368
guerreiro2.0,104
julia__bellini1,74
ferreiraayasmiin,101
gilbertinafonseca,44
mikael_slvan,152
rafaeldias861,59
rappiozark,94
akanehomura,96
sramosd1,68
analarissaoliveira275,58
fernandacunh1,121
isadora_goncalves201,90
nandalopes55,67
